Year,VMTm1,Population,GDP,Unemployment Rate 1,TotLaneMiles,TransitPMT,EVPrivateandPublicChargingStationLocations,%populationTelework
2020,3.28E+12,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
2021,,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
2022,,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
2023,,3.35E+08,2.09E+04,3.60E+00,8.86E+06,4.36E+10,6.17E+04,1.01E-01
2024,,3.36E+08,2.15E+04,3.33E+00,8.89E+06,4.46E+10,6.75E+04,1.02E-01
2025,,3.38E+08,2.21E+04,3.28E+00,8.91E+06,4.56E+10,7.33E+04,1.04E-01
2026,,3.40E+08,2.26E+04,3.41E+00,8.94E+06,4.66E+10,7.91E+04,1.05E-01
2027,,3.42E+08,2.31E+04,3.71E+00,8.96E+06,4.76E+10,8.49E+04,1.05E-01
2028,,3.44E+08,2.35E+04,4.04E+00,8.99E+06,4.87E+10,9.07E+04,1.06E-01
2029,,3.45E+08,2.40E+04,4.25E+00,9.01E+06,4.97E+10,9.65E+04,1.06E-01
2030,,3.47E+08,2.46E+04,4.26E+00,9.03E+06,5.07E+10,1.02E+05,1.06E-01
2031,,3.49E+08,2.51E+04,4.27E+00,9.06E+06,5.17E+10,1.08E+05,1.07E-01
2032,,3.51E+08,2.56E+04,4.25E+00,9.08E+06,5.28E+10,1.14E+05,1.07E-01
2033,,3.53E+08,2.62E+04,4.22E+00,9.11E+06,5.38E+10,1.20E+05,1.08E-01
2034,,3.54E+08,2.67E+04,4.23E+00,9.13E+06,5.48E+10,1.25E+05,1.08E-01
2035,,3.56E+08,2.73E+04,4.26E+00,9.16E+06,5.58E+10,1.31E+05,1.09E-01
2036,,3.58E+08,2.78E+04,4.28E+00,9.18E+06,5.69E+10,1.37E+05,1.09E-01
2037,,3.59E+08,2.84E+04,4.27E+00,9.21E+06,5.79E+10,1.43E+05,1.10E-01
2038,,3.61E+08,2.89E+04,4.23E+00,9.23E+06,5.89E+10,1.49E+05,1.10E-01
2039,,3.62E+08,2.95E+04,4.21E+00,9.25E+06,5.99E+10,1.54E+05,1.10E-01
2040,,3.63E+08,3.01E+04,4.20E+00,9.28E+06,6.09E+10,1.60E+05,1.11E-01
2041,,3.65E+08,3.07E+04,4.21E+00,9.30E+06,6.20E+10,1.66E+05,1.11E-01
2042,,3.66E+08,3.13E+04,4.22E+00,9.33E+06,6.30E+10,1.72E+05,1.12E-01
2043,,3.67E+08,3.19E+04,4.22E+00,9.35E+06,6.40E+10,1.78E+05,1.12E-01
2044,,3.69E+08,3.25E+04,4.21E+00,9.38E+06,6.50E+10,1.84E+05,1.13E-01
2045,,3.70E+08,3.32E+04,4.19E+00,9.40E+06,6.61E+10,1.89E+05,1.13E-01
2046,,3.71E+08,3.39E+04,4.16E+00,9.42E+06,6.71E+10,1.95E+05,1.14E-01
2047,,3.72E+08,3.45E+04,4.14E+00,9.45E+06,6.81E+10,2.01E+05,1.14E-01
2048,,3.73E+08,3.52E+04,4.13E+00,9.47E+06,6.91E+10,2.07E+05,1.15E-01
2049,,3.75E+08,3.59E+04,4.12E+00,9.50E+06,7.02E+10,2.13E+05,1.15E-01
2050,,3.76E+08,3.67E+04,4.13E+00,9.52E+06,7.12E+10,2.18E+05,1.16E-01
