Year,VMT,TransitModeShare,TransportGHG ,VMTm1,Population,GDP,Unemployment Rate 1,TotLaneMiles,TransitPMT,EVPrivateandPublicChargingStationLocations,%populationTelework
2000,2.76E+12,0.00E+00,1.91E+03,2.71E+12,2.82E+08,1.31E+04,3.97E+00,8.22E+06,4.51E+10,5.58E+02,3.30E-02
2001,2.81E+12,0.00E+00,1.89E+03,2.76E+12,2.85E+08,1.33E+04,4.74E+00,8.25E+06,4.65E+10,6.93E+02,3.38E-02
2002,2.87E+12,0.00E+00,1.93E+03,2.81E+12,2.88E+08,1.35E+04,5.78E+00,8.30E+06,4.61E+10,8.73E+02,3.45E-02
2003,2.91E+12,0.00E+00,1.93E+03,2.87E+12,2.90E+08,1.39E+04,5.99E+00,8.32E+06,4.57E+10,8.30E+02,3.49E-02
2004,2.98E+12,4.60E-02,1.97E+03,2.91E+12,2.93E+08,1.44E+04,5.54E+00,8.34E+06,4.65E+10,6.71E+02,3.80E-02
2005,3.01E+12,4.66E-02,1.98E+03,2.98E+12,2.96E+08,1.49E+04,5.08E+00,8.37E+06,4.71E+10,5.88E+02,3.60E-02
2006,3.03E+12,4.83E-02,1.98E+03,3.01E+12,2.98E+08,1.53E+04,4.61E+00,8.42E+06,4.95E+10,4.65E+02,3.91E-02
2007,3.05E+12,4.88E-02,1.97E+03,3.03E+12,3.01E+08,1.56E+04,4.62E+00,8.46E+06,5.19E+10,4.32E+02,4.08E-02
2008,2.99E+12,5.01E-02,1.87E+03,3.05E+12,3.04E+08,1.56E+04,5.80E+00,8.48E+06,5.37E+10,4.40E+02,4.10E-02
2009,2.98E+12,4.99E-02,1.80E+03,2.99E+12,3.07E+08,1.52E+04,9.28E+00,8.58E+06,5.39E+10,4.84E+02,4.27E-02
2010,2.99E+12,4.94E-02,1.80E+03,2.98E+12,3.09E+08,1.56E+04,9.61E+00,8.58E+06,5.26E+10,6.26E+02,4.33E-02
2011,2.96E+12,5.03E-02,1.77E+03,2.99E+12,3.12E+08,1.59E+04,8.93E+00,8.57E+06,5.43E+10,2.10E+03,4.34E-02
2012,2.97E+12,5.01E-02,1.75E+03,2.96E+12,3.14E+08,1.63E+04,8.08E+00,8.61E+06,5.52E+10,6.20E+03,4.36E-02
2013,2.99E+12,5.17E-02,1.75E+03,2.97E+12,3.16E+08,1.66E+04,7.36E+00,8.66E+06,5.65E+10,8.10E+03,4.36E-02
2014,3.04E+12,5.21E-02,1.79E+03,2.99E+12,3.18E+08,1.69E+04,6.16E+00,8.77E+06,5.70E+10,1.07E+04,4.49E-02
2015,3.11E+12,5.23E-02,1.79E+03,3.04E+12,3.21E+08,1.74E+04,5.28E+00,8.74E+06,5.57E+10,1.37E+04,4.61E-02
2016,3.17E+12,5.09E-02,1.83E+03,3.11E+12,3.23E+08,1.77E+04,4.88E+00,8.71E+06,5.63E+10,1.77E+04,5.05E-02
2017,3.22E+12,5.00E-02,1.85E+03,3.17E+12,3.25E+08,1.81E+04,4.36E+00,8.77E+06,5.48E+10,1.98E+04,5.23E-02
2018,3.26E+12,4.90E-02,1.87E+03,3.22E+12,3.27E+08,1.86E+04,3.89E+00,8.79E+06,5.38E+10,2.28E+04,5.20E-02
2019,3.28E+12,4.96E-02,1.87E+03,3.26E+12,3.28E+08,1.90E+04,3.68E+00,8.79E+06,5.41E+10,2.70E+04,5.72E-02
